,location,event,date,artists,genre,coordinates
0,Habere Poche,VIBRATIONS METISSAGES,2006-03-03,[ALERTE ROUGE],,"(46.248468, 6.471481)"
1,Habere Poche,VIBRATIONS METISSAGES,2006-03-04,[K2R RIDDIM],,"(46.248468, 6.471481)"
2,Epalinges,FESTIVAL DE GUITARE A LAUSANNE,2006-04-28,[ALIESKI VIANA],,"(46.54885729999999, 6.674199)"
3,Epalinges,FESTIVAL DE GUITARE A LAUSANNE,2006-04-29,[GEORGE VASSILEV],,"(46.54885729999999, 6.674199)"
4,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2006-04-30,[DANIEL MORGADE],,"(46.5196535, 6.6322734)"
5,Bulle,FRANCOMANIAS,2006-05-23,"[SIMON GERBER, ASTONVILLA]",,"(46.6154512, 7.057726799999999)"
6,Bulle,FRANCOMANIAS,2006-05-24,"[TETES RAIDES, ZOE  (Chanteuse Belge)]",,"(46.6154512, 7.057726799999999)"
7,Bulle,FRANCOMANIAS,2006-05-25,"[STEPHANE BLOK, CHRISTOPHE MALI]",,"(46.6154512, 7.057726799999999)"
8,Bulle,FRANCOMANIAS,2006-05-26,"[RAPHAEL, MICHEL JONASZ (ABRAHAM)]",,"(46.6154512, 7.057726799999999)"
9,Bulle,FRANCOMANIAS,2006-05-27,"[TOMAS GRAND, PAULINE CROZE]",,"(46.6154512, 7.057726799999999)"
10,La Chaux du Milieu,CORBAK,2006-06-01,[MICHEL JONASZ (ABRAHAM)],,"(47.0131911, 6.703647699999999)"
11,Paudex,PULLY A L'HEURE DU QUEBEC,2006-06-02,[CHLOE SAINTE MARIE],,"(46.5051579, 6.6723034)"
12,Lutry,PULLY A L'HEURE DU QUEBEC,2006-06-03,[SUROIT],,"(46.5088803, 6.6827638)"
13,Neuchatel,FESTI NEUCH,2006-06-04,[SIMON GERBER],,"(46.9899874, 6.9292732)"
14,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-05,[ROBERT CHARLEBOIS],,"(46.5092681, 6.6654949)"
15,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-06,"[CHLOE SAINTE MARIE, YVES SAVARD, ROBERT CHARLEBOIS]",,"(46.5092681, 6.6654949)"
16,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-07,"[RICHARD DESJARDINS, CATHERINE MAJOR, MARIE CHANTAL TOUPIN]",,"(46.5092681, 6.6654949)"
17,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-08,"[PIERRE LAPOINTE, LARA]",,"(46.5092681, 6.6654949)"
18,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-09,"[AMELIE VEILLE, MARIO BRASSARD]",,"(46.5092681, 6.6654949)"
19,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-10,[SUROIT],,"(46.5092681, 6.6654949)"
20,Interlaken,GREENFIELD,2006-06-16,[APOCALYPTICA],,"(46.6863481, 7.863204899999999)"
21,Interlaken,GREENFIELD,2006-06-17,[HARD FI],,"(46.6863481, 7.863204899999999)"
22,Interlaken,GREENFIELD,2006-06-18,[MAD CADDIES],,"(46.6863481, 7.863204899999999)"
23,Avully,GENA FESTIVAL,2006-06-23,"[SINNER DC, THE BOOZE (ex BOOZE BROTHERS), FANTASMAGORIA (WORLD)]",,"(46.1696093, 6.0013782)"
24,Avully,GENA FESTIVAL,2006-06-24,"[TIGER THE LION, CELYANE, DANNY GILES]",,"(46.1696093, 6.0013782)"
25,Montreux,MONTREUX JAZZ FESTIVAL,2006-06-30,"[CHIC FEAT. NILE RODGERS, ASHER SELECTOR, PAOLO CONTE]",,"(46.4312213, 6.9106799)"
26,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-01,"[MARCELO D2, BROTHER ALI, KLAUS DOLDINGER & PASSPORT]",,"(46.4312213, 6.9106799)"
27,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-02,"[ORNETTE COLEMAN, CLAP YOUR HANDS SAY YEAH !, VAN MORRISON]",,"(46.4312213, 6.9106799)"
28,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-03,"[LEELA JAMES, FERNANDO CORONA aka MURCOF, DAVID SANBORN]",,"(46.4312213, 6.9106799)"
29,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-04,"[TERRY CALLIER, THE DEFTONES, GLADYS KNIGHT]",,"(46.4312213, 6.9106799)"
30,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-05,"[RAUL MIDON, TRACY CHAPMAN, DIANA KRALL]",,"(46.4312213, 6.9106799)"
31,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-06,"[BRYAN ADAMS, CARL CRAIG, JOHN SCOFIELD]",,"(46.4312213, 6.9106799)"
32,Lausanne,SWISS PRIDE,2006-07-07,[LOUIE AUSTEN],,"(46.5196535, 6.6322734)"
33,Lausanne,SWISS PRIDE,2006-07-08,[THE ORGAN],,"(46.5196535, 6.6322734)"
34,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-09,"[SANTANA, DAVID WALTERS, RANDY NEWMAN]",,"(46.4312213, 6.9106799)"
35,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-10,"[SANTANA, BERNARD LAVILLIERS]",,"(46.4312213, 6.9106799)"
36,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-11,"[STING, MORRISSEY, HERBIE HANCOCK]",,"(46.4312213, 6.9106799)"
37,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-12,"[TOWER OF POWER, MARCUS MILLER]",,"(46.4312213, 6.9106799)"
38,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-13,"[SEAN PAUL, DANI SICILIANO, SOLOMON BURKE]",,"(46.4312213, 6.9106799)"
39,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-14,"[IGGY POP, THE STROKES, DIEGO EL CIGALA]",,"(46.4312213, 6.9106799)"
40,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-15,"[DEEP PURPLE, MATHEW JONSON, PACO DE LUCIA]",,"(46.4312213, 6.9106799)"
41,Bern,GURTEN FESTIVAL BERN,2006-07-16,[PHOENIX],,"(46.9479739, 7.4474468)"
42,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2006-07-17,[DANIEL HUMAIR],,"(46.2043907, 6.1431577)"
43,Nyon,PALEO FESTIVAL,2006-07-18,[ANAIS],,"(46.3832683, 6.2347852)"
44,Nyon,PALEO FESTIVAL,2006-07-19,[ZIGGY MARLEY],,"(46.3832683, 6.2347852)"
45,Nyon,PALEO FESTIVAL,2006-07-20,[THE LORDS OF ALTAMONT],,"(46.3832683, 6.2347852)"
46,Nyon,PALEO FESTIVAL,2006-07-21,[TRACY CHAPMAN],,"(46.3832683, 6.2347852)"
47,Nyon,PALEO FESTIVAL,2006-07-22,[HATEFUL MONDAY],,"(46.3832683, 6.2347852)"
48,Nyon,PALEO FESTIVAL,2006-07-23,[MXD],,"(46.3832683, 6.2347852)"
49,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2006-07-24,[ENRICO RAVA],,"(46.2043907, 6.1431577)"
50,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2006-07-31,[TANIA MARIA],,"(46.2043907, 6.1431577)"
51,Geneve,VILLAGE TROPICAL,2006-08-03,[OSCAR D'LEON],,"(46.2043907, 6.1431577)"
52,Geneve,VILLAGE TROPICAL,2006-08-04,[SOLO DOS],,"(46.2043907, 6.1431577)"
53,Geneve,VILLAGE TROPICAL,2006-08-05,[CARLOS CAMPOS],,"(46.2043907, 6.1431577)"
54,Geneve,VILLAGE TROPICAL,2006-08-06,[ALMA & NIURKA],,"(46.2043907, 6.1431577)"
55,Geneve,VILLAGE TROPICAL,2006-08-07,[ORQUESTA ARAGON],,"(46.2043907, 6.1431577)"
56,Geneve,VILLAGE TROPICAL,2006-08-08,[ISSAC DELGADO],,"(46.2043907, 6.1431577)"
57,Geneve,VILLAGE TROPICAL,2006-08-09,[VERDE PARRA],,"(46.2043907, 6.1431577)"
58,Geneve,VILLAGE TROPICAL,2006-08-10,[LALEY],,"(46.2043907, 6.1431577)"
59,Geneve,VILLAGE TROPICAL,2006-08-11,[BONGA],,"(46.2043907, 6.1431577)"
60,Geneve,VILLAGE TROPICAL,2006-08-12,[REALCE],,"(46.2043907, 6.1431577)"
61,Geneve,VILLAGE TROPICAL,2006-08-13,[ULTIMAMENTE SALSA],,"(46.2043907, 6.1431577)"
62,Gampel,OPEN AIR DE GAMPEL,2006-08-17,[THE PRODIGY],,"(46.3157745, 7.741944099999999)"
63,Gampel,OPEN AIR DE GAMPEL,2006-08-18,[NADA SURF],,"(46.3157745, 7.741944099999999)"
64,Gampel,OPEN AIR DE GAMPEL,2006-08-19,[MANDO DIAO],,"(46.3157745, 7.741944099999999)"
65,Gampel,OPEN AIR DE GAMPEL,2006-08-20,[MY CHEMICAL ROMANCE],,"(46.3157745, 7.741944099999999)"
66,Geneve,FESTIVAL DE LA BATIE,2006-09-05,[HOBA HOBA SPIRIT],,"(46.2043907, 6.1431577)"
67,Geneve,FESTIVAL DE LA BATIE,2006-09-07,[LEO TARDIN],,"(46.2043907, 6.1431577)"
68,Geneve,FESTIVAL DE LA BATIE,2006-09-08,[AN PIERLE],,"(46.2043907, 6.1431577)"
69,Geneve,FESTIVAL DE LA BATIE,2006-09-09,"[SOON, ALDEN TYRELL]",,"(46.2043907, 6.1431577)"
70,Geneve,FESTIVAL DE LA BATIE,2006-09-11,[VELMA],,"(46.2043907, 6.1431577)"
71,Geneve,FESTIVAL DE LA BATIE,2006-09-12,[VELMA],,"(46.2043907, 6.1431577)"
72,Le Noirmont,CHANT DU GROS,2006-09-14,[CALI],,"(47.2256223, 6.9572116)"
73,Geneve,FESTIVAL DE LA BATIE,2006-09-15,"[MY LITTLE CHEAP DICTAPHONE (MLCD), THE EXPERIMENTAL TROPIC BLUES BAND]",,"(46.2043907, 6.1431577)"
74,Le Noirmont,CHANT DU GROS,2006-09-16,[ELLIOTT MURPHY],,"(47.2256223, 6.9572116)"
75,Delemont,NOTES D'EQUINOXE,2006-09-22,[GERARDO NUNEZ],,"(47.365837, 7.345155500000001)"
76,Delemont,NOTES D'EQUINOXE,2006-09-23,"[OKNA TSAHAN ZAM, REGIS GIZAVO, REDOUANE HARIBE, NORN, ADEMIR CANDIDO CHORO ALEGRE, ROMANE, LEYLI]",,"(47.365837, 7.345155500000001)"
77,Delemont,NOTES D'EQUINOXE,2006-09-24,"[CLAUDE FERRIER, REDOUANE HARIBE, LE VENT DU NORD, LEYLI, ROMANE, OKNA TSAHAN ZAM, REGIS GIZAVO]",,"(47.365837, 7.345155500000001)"
78,Geneve,JAZZCONTREBAND,2006-10-11,[AHMAD MANSOUR],,"(46.2043907, 6.1431577)"
79,Seynod,JAZZCONTREBAND,2006-10-12,[GABRIEL ZUFFEREY],,"(45.8890357, 6.102035799999999)"
80,Geneve,JAZZCONTREBAND,2006-10-13,[JOJO MAYER'S NERVE],,"(46.2043907, 6.1431577)"
81,Saint Claude,JAZZCONTREBAND,2006-10-14,[YVES ROUSSEAU],,"(46.387405, 5.867765899999999)"
82,Geneve,JAZZCONTREBAND,2006-10-15,[REGGIE WASHINGTON],,"(46.2043907, 6.1431577)"
83,Thonon Les Bains,JAZZCONTREBAND,2006-10-19,[MARIA PIA DE VITO],,"(46.373565, 6.477634999999999)"
84,Monthey,JAZZCONTREBAND,2006-10-20,[ELISABETH KONTOMANOU],,"(46.2521873, 6.9469598)"
85,Thonex,THONEX TOTAL COUNTRY,2006-10-21,[BONNIE J TAYLOR],,"(46.19283739999999, 6.202767)"
86,Annemasse,JAZZCONTREBAND,2006-10-22,[SWING GONES],,"(46.19325300000001, 6.234158)"
87,Lausanne,JAZZ ONZE +,2006-10-25,[SKALPEL],,"(46.5196535, 6.6322734)"
88,Lausanne,JAZZ ONZE +,2006-10-26,[MATHIEU MICHEL],,"(46.5196535, 6.6322734)"
89,Lausanne,JAZZ ONZE +,2006-10-27,[WILLIAM PARKER],,"(46.5196535, 6.6322734)"
90,Lausanne,JAZZ ONZE +,2006-10-28,[EIVIND AARSET],,"(46.5196535, 6.6322734)"
91,Bale (Basel),SONIC,2006-11-03,[BENNY BENASSI],,"(47.5595986, 7.5885761)"
92,Le Lignon,VERNIER SUR ROCK,2006-11-23,[LES WAMPAS],,"(46.203703, 6.0961889)"
93,Le Lignon,VERNIER SUR ROCK,2006-11-24,[SAIAN SUPA CREW],,"(46.203703, 6.0961889)"
94,Le Lignon,VERNIER SUR ROCK,2006-11-25,[RASPAIL],,"(46.203703, 6.0961889)"
95,Duedingen,FR KATZ FESTIVAL,2006-12-07,[ZU],,"(46.8464198, 7.191017899999999)"
96,Duedingen,FR KATZ FESTIVAL,2006-12-08,[LE CLUB DES CHATS],,"(46.8464198, 7.191017899999999)"
97,Duedingen,FR KATZ FESTIVAL,2006-12-09,[NORIKO TUJIKO],,"(46.8464198, 7.191017899999999)"
98,Duedingen,FR KATZ FESTIVAL,2006-12-10,[JEFFREY LEWIS],,"(46.8464198, 7.191017899999999)"
99,Habere Poche,VIBRATIONS METISSAGES,2007-02-23,[KAOLIN],,"(46.248468, 6.471481)"
100,Habere Poche,VIBRATIONS METISSAGES,2007-02-24,[RIKE],,"(46.248468, 6.471481)"
101,Montreux,MOTION OPENAIR,2007-04-05,[DAVID GUETTA],,"(46.4312213, 6.9106799)"
102,Montreux,MOTION OPENAIR,2007-04-06,[NEOPHYTE],,"(46.4312213, 6.9106799)"
103,Montreux,MOTION OPENAIR,2007-04-07,[BABY MARCELLO],,"(46.4312213, 6.9106799)"
104,Montreux,MOTION OPENAIR,2007-04-08,[MARTIN SOLVEIG],,"(46.4312213, 6.9106799)"
105,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2007-05-03,[RYUJI KUNIMATSU],,"(46.5196535, 6.6322734)"
106,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2007-05-04,[GABRIEL GUILLEN],,"(46.5196535, 6.6322734)"
107,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2007-05-05,[FRANCISCO GIL],,"(46.5196535, 6.6322734)"
108,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2007-05-06,[DAVID RUSSELL],,"(46.5196535, 6.6322734)"
109,Lausanne,BALEINEV,2007-05-11,[CLIMAX],,"(46.5196535, 6.6322734)"
110,Interlaken,GREENFIELD,2007-05-16,[THIRTY SECONDS TO MARS],,"(46.6863481, 7.863204899999999)"
111,Interlaken,GREENFIELD,2007-05-17,[MANIC STREET PREACHERS],,"(46.6863481, 7.863204899999999)"
112,La Chaux du Milieu,CORBAK,2007-05-24,[BEL HUBERT],,"(47.0131911, 6.703647699999999)"
113,La Chaux du Milieu,CORBAK,2007-05-25,[VIENNA ART ORCHESTRA],,"(47.0131911, 6.703647699999999)"
114,La Chaux du Milieu,CORBAK,2007-05-26,[LES FILS DE TEUHPU],,"(47.0131911, 6.703647699999999)"
115,Winterthur,AFRO - PFINGSTEN,2007-05-27,"[ATONGO ZIMBA, OMAR PENE]",,"(47.4988196, 8.723688899999999)"
116,Winterthur,AFRO - PFINGSTEN,2007-05-28,[MANU DIBANGO],,"(47.4988196, 8.723688899999999)"
117,Neuchatel,FESTI NEUCH,2007-06-01,[CASSIUS],,"(46.9899874, 6.9292732)"
118,Neuchatel,FESTI NEUCH,2007-06-02,[DE LA SOUL],,"(46.9899874, 6.9292732)"
119,Neuchatel,FESTI NEUCH,2007-06-03,[LES OGRES DE BARBACK],,"(46.9899874, 6.9292732)"
120,Pully,FESTIVAL'ENTRE2,2007-06-06,[MICHEL BUHLER],,"(46.5092681, 6.6654949)"
121,Sierre,SISMICS FESTIVAL,2007-06-07,[INNA CRISIS],,"(46.29413110000001, 7.533536199999999)"
122,Sierre,SISMICS FESTIVAL,2007-06-08,[KID CHOCOLAT],,"(46.29413110000001, 7.533536199999999)"
123,Sierre,SISMICS FESTIVAL,2007-06-09,[LOVE MOTEL],,"(46.29413110000001, 7.533536199999999)"
124,Interlaken,GREENFIELD,2007-06-15,[HOUSTON SWING ENGINE],,"(46.6863481, 7.863204899999999)"
125,Avully,GENA FESTIVAL,2007-06-16,"[STEVANS, LA CHANGO FAMILY]",,"(46.1696093, 6.0013782)"
126,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2007-06-29,[BONOBO],,"(46.29413110000001, 7.533536199999999)"
127,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2007-06-30,[ALEX ATTIAS],,"(46.29413110000001, 7.533536199999999)"
128,Geneve,MUSIQUES EN ETE,2007-07-02,[THE THREE LADIES OF THE BLUES],,"(46.2043907, 6.1431577)"
129,Geneve,MUSIQUES EN ETE,2007-07-04,[SIERRA LEONE'S REFUGEES ALLSTARS],,"(46.2043907, 6.1431577)"
130,Geneve,MUSIQUES EN ETE,2007-07-06,[MARC ANDRE LEGER],,"(46.2043907, 6.1431577)"
131,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-07,"[MOTORHEAD, THE GOOD, THE BAD AND THE QUEEN]",,"(46.4312213, 6.9106799)"
132,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-08,"[PLACEBO, JOHN LEGEND]",,"(46.4312213, 6.9106799)"
133,Geneve,MUSIQUES EN ETE,2007-07-09,[DAVE HOLLAND],,"(46.2043907, 6.1431577)"
134,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-10,"[FAITHLESS, BEASTIE BOYS]",,"(46.4312213, 6.9106799)"
135,Geneve,MUSIQUES EN ETE,2007-07-11,[BOJAN Z],,"(46.2043907, 6.1431577)"
136,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-12,"[GEORGE BENSON, FAUVE]",,"(46.4312213, 6.9106799)"
137,Geneve,MUSIQUES EN ETE,2007-07-13,[JOHN MAYALL],,"(46.2043907, 6.1431577)"
138,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-14,"[OLODUM, POP LEVI]",,"(46.4312213, 6.9106799)"
139,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-15,"[RICKIE LEE JONES, MARIA BETHANIA]",,"(46.4312213, 6.9106799)"
140,Geneve,MUSIQUES EN ETE,2007-07-16,[KIRK LIGHTSEY],,"(46.2043907, 6.1431577)"
141,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-17,"[NORAH JONES, ROGER HODGSON & HIS BAND]",,"(46.4312213, 6.9106799)"
142,Geneve,MUSIQUES EN ETE,2007-07-18,[FANGA],,"(46.2043907, 6.1431577)"
143,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-19,"[THE B 52's, PAOLO NUTINI]",,"(46.4312213, 6.9106799)"
144,Geneve,MUSIQUES EN ETE,2007-07-20,[ABAJI],,"(46.2043907, 6.1431577)"
145,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-21,"[JIMMY CLIFF, LAURENT GARNIER]",,"(46.4312213, 6.9106799)"
146,Bern,GURTEN FESTIVAL BERN,2007-07-22,[JOSS STONE],,"(46.9479739, 7.4474468)"
147,Geneve,MUSIQUES EN ETE,2007-07-23,[AL FOSTER],,"(46.2043907, 6.1431577)"
148,Nyon,PALEO FESTIVAL,2007-07-24,[SOLARTONES],,"(46.3832683, 6.2347852)"
149,Nyon,PALEO FESTIVAL,2007-07-25,[KRUGER],,"(46.3832683, 6.2347852)"
150,Alterswil,STONE HILL,2007-07-26,[ROY AND THE DEVIL MOTORCYCLE],,"(46.7948597, 7.260381300000001)"
151,Alterswil,STONE HILL,2007-07-27,[T-RAUMSCHMIERE],,"(46.7948597, 7.260381300000001)"
152,Alterswil,STONE HILL,2007-07-28,[TRIGGERFINGER],,"(46.7948597, 7.260381300000001)"
153,Nyon,PALEO FESTIVAL,2007-07-29,[GOGOL BORDELLO],,"(46.3832683, 6.2347852)"
154,Geneve,MUSIQUES EN ETE,2007-07-30,[RICHARD GALLIANO],,"(46.2043907, 6.1431577)"
155,Geneve,MUSIQUES EN ETE,2007-08-01,[AMSTERDAM KLEZMER BAND (AKB)],,"(46.2043907, 6.1431577)"
156,Geneve,VILLAGE TROPICAL,2007-08-02,[JOSE ALBERTO EL CANARIO],,"(46.2043907, 6.1431577)"
157,Porrentruy,ROCK AIR PORRENTRUY,2007-08-03,[UNCOMMONMENFROMMARS],,"(47.416647, 7.0765657)"
158,Geneve,VILLAGE TROPICAL,2007-08-04,[RODRY GO],,"(46.2043907, 6.1431577)"
159,Geneve,VILLAGE TROPICAL,2007-08-05,[BATAMBO],,"(46.2043907, 6.1431577)"
160,Geneve,VILLAGE TROPICAL,2007-08-06,[MARACA / ORLANDO MARACA VALLE],,"(46.2043907, 6.1431577)"
161,Geneve,VILLAGE TROPICAL,2007-08-07,[REVISTA DO SAMBA],,"(46.2043907, 6.1431577)"
162,Geneve,VILLAGE TROPICAL,2007-08-08,[SONORA UNIVERSAL],,"(46.2043907, 6.1431577)"
163,Geneve,VILLAGE TROPICAL,2007-08-09,[SERGENT GARCIA],,"(46.2043907, 6.1431577)"
164,Geneve,VILLAGE TROPICAL,2007-08-10,[EL CONJUNTO MASSALIA],,"(46.2043907, 6.1431577)"
165,Geneve,VILLAGE TROPICAL,2007-08-11,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
166,Geneve,VILLAGE TROPICAL,2007-08-12,[LA TREMENDA SONORA],,"(46.2043907, 6.1431577)"
167,Geneve,MUSIQUES EN ETE,2007-08-15,[LA FANFARA LUI CRACIUN],,"(46.2043907, 6.1431577)"
168,Gampel,OPEN AIR DE GAMPEL,2007-08-16,[IN EXTREMO],,"(46.3157745, 7.741944099999999)"
169,Gampel,OPEN AIR DE GAMPEL,2007-08-17,[THE ANSWER],,"(46.3157745, 7.741944099999999)"
170,Gampel,OPEN AIR DE GAMPEL,2007-08-18,[WILLIAM WHITE],,"(46.3157745, 7.741944099999999)"
171,Gampel,OPEN AIR DE GAMPEL,2007-08-19,[GOCOO],,"(46.3157745, 7.741944099999999)"
172,Geneve,MUSIQUES EN ETE,2007-08-22,[JONAS ET LE TAXI BROUSSE ORCHESTRA],,"(46.2043907, 6.1431577)"
173,Geneve,FESTIVAL DE LA BATIE,2007-09-01,"[DA SILVA, JA GERN]",,"(46.2043907, 6.1431577)"
174,Geneve,FESTIVAL DE LA BATIE,2007-09-02,[JONAS ET LE TAXI BROUSSE ORCHESTRA],,"(46.2043907, 6.1431577)"
175,Geneve,FESTIVAL DE LA BATIE,2007-09-03,[FRITZ HAUSER],,"(46.2043907, 6.1431577)"
176,Geneve,FESTIVAL DE LA BATIE,2007-09-04,[NOSFELL],,"(46.2043907, 6.1431577)"
177,Geneve,FESTIVAL DE LA BATIE,2007-09-05,"[POLAR, ALEX ATTIAS]",,"(46.2043907, 6.1431577)"
178,Geneve,FESTIVAL DE LA BATIE,2007-09-06,"[AKUFEN aka MARC LECLAIR, FANFARE DU LOUP ORCHESTRA (LE CRI DU SON)]",,"(46.2043907, 6.1431577)"
179,Geneve,FESTIVAL DE LA BATIE,2007-09-07,"[SCOTT MONTEITH, VINCENT LEMIEUX]",,"(46.2043907, 6.1431577)"
180,Geneve,FESTIVAL DE LA BATIE,2007-09-08,"[TAYLOR SAVVY, MANDRAX]",,"(46.2043907, 6.1431577)"
181,Chatelaine Le Lignon Geneve,FESTIVAL DE LA BATIE,2007-09-09,[POLAR],,"(46.21008490000001, 6.117770999999999)"
182,Zurich,CHANSONS EN STOK,2007-09-11,[THIERRY ROMANENS],,"(47.3768866, 8.541694)"
183,Geneve,FESTIVAL DE LA BATIE,2007-09-12,[SOPHIE HUNGER],,"(46.2043907, 6.1431577)"
184,Geneve,FESTIVAL DE LA BATIE,2007-09-13,[KALABRESE AND THE RUMPELORCHESTRA],,"(46.2043907, 6.1431577)"
185,Geneve,FESTIVAL DE LA BATIE,2007-09-14,"[LIM GIONG, MATTAFIX]",,"(46.2043907, 6.1431577)"
186,Geneve,FESTIVAL DE LA BATIE,2007-09-15,[ZEBRA (Antoine)],,"(46.2043907, 6.1431577)"
187,Zurich,CHANSONS EN STOK,2007-09-16,[JEHAN],,"(47.3768866, 8.541694)"
188,Boncourt,FETE DU BISON & WEEK END COUNTRY,2007-09-21,[BIG ROCK],,"(47.4960637, 7.0157468)"
189,Boncourt,FETE DU BISON & WEEK END COUNTRY,2007-09-22,[MARIE DAZZLER],,"(47.4960637, 7.0157468)"
190,Delemont,NOTES D'EQUINOXE,2007-09-23,[A FILETTA],,"(47.365837, 7.345155500000001)"
191,Villeurbanne,ZIKEMO,2007-10-12,[GESCH ET LES OTAKUS],,"(45.771944, 4.8901709)"
192,Villeurbanne,ZIKEMO,2007-10-13,[LES SARDINES EPANOUIES],,"(45.771944, 4.8901709)"
193,Geneve,JAZZCONTREBAND,2007-10-14,[SWING SESSION],,"(46.2043907, 6.1431577)"
194,Thonon Les Bains,JAZZCONTREBAND,2007-10-16,[ETIENNE MBAPPE],,"(46.373565, 6.477634999999999)"
195,Onex,JAZZCONTREBAND,2007-10-18,[CHRISTOPH STIEFEL],,"(46.183541, 6.1002345)"
196,Vevey,ROCK N ORGE,2007-10-19,[THE PASSENGERS],,"(46.4628333, 6.8419192)"
197,Vevey,ROCK N ORGE,2007-10-20,[AVALON 1],,"(46.4628333, 6.8419192)"
198,Geneve,JAZZCONTREBAND,2007-10-23,[IN TRANSIT],,"(46.2043907, 6.1431577)"
199,Thonon Les Bains,JAZZCONTREBAND,2007-10-24,[GARY BURTON],,"(46.373565, 6.477634999999999)"
200,Geneve,JAZZCONTREBAND,2007-10-25,[IN TRANSIT],,"(46.2043907, 6.1431577)"
201,Geneve,JAZZCONTREBAND,2007-10-26,[EDWARD PERRAUD],,"(46.2043907, 6.1431577)"
202,Saint Claude,JAZZCONTREBAND,2007-10-27,[FRANCOIS GALLIX],,"(46.387405, 5.867765899999999)"
203,Lausanne,JAZZ ONZE +,2007-10-28,[STEPHANE CHAPUIS],,"(46.5196535, 6.6322734)"
204,Le Lignon,VERNIER SUR ROCK,2007-11-01,[MASS HYSTERIA],,"(46.203703, 6.0961889)"
205,Le Lignon,VERNIER SUR ROCK,2007-11-02,[INNA CRISIS],,"(46.203703, 6.0961889)"
206,Le Lignon,VERNIER SUR ROCK,2007-11-03,[LA FOUINE],,"(46.203703, 6.0961889)"
207,Duedingen,FR KATZ FESTIVAL,2007-12-06,[FOOD FOR ANIMALS],,"(46.8464198, 7.191017899999999)"
208,Duedingen,FR KATZ FESTIVAL,2007-12-07,[FREAKS],,"(46.8464198, 7.191017899999999)"
209,Duedingen,FR KATZ FESTIVAL,2007-12-08,[DJ FETT],,"(46.8464198, 7.191017899999999)"
210,Neuchatel,OTHERJAZZ FESTIVAL,2008-02-20,[LUCIEN DUBUIS],,"(46.9899874, 6.9292732)"
211,Neuchatel,OTHERJAZZ FESTIVAL,2008-02-21,[DONKEY MONKEY],,"(46.9899874, 6.9292732)"
212,Sciez sur Leman,VIBRATIONS METISSAGES,2008-02-22,[ASTONVILLA],,"(46.33118, 6.374149999999999)"
213,Sciez sur Leman,VIBRATIONS METISSAGES,2008-02-23,[SYRANO],,"(46.33118, 6.374149999999999)"
214,Geneve,ELECTRON,2008-03-20,[AUTECHRE],,"(46.2043907, 6.1431577)"
215,Geneve,ELECTRON,2008-03-21,[DOP],,"(46.2043907, 6.1431577)"
216,Geneve,ELECTRON,2008-03-22,[MACKIE],,"(46.2043907, 6.1431577)"
217,Geneve,ELECTRON,2008-03-23,[LULUXPO],,"(46.2043907, 6.1431577)"
218,Montreux,MOTION OPENAIR,2008-04-03,[CARL COX],,"(46.4312213, 6.9106799)"
219,Montreux,MOTION OPENAIR,2008-04-04,[MICROPOINT],,"(46.4312213, 6.9106799)"
220,Montreux,MOTION OPENAIR,2008-04-05,[SIMON DUNMORE],,"(46.4312213, 6.9106799)"
